w_power,w_airspeed,w_fc,pressure_altitude,temperature,propeller_pitch,manifold_pressure,optimal_power,optimal_airspeed,optimal_fc,objective_value
0.55,0.44999999999999996,0.0,2.947148515934993e-9,30.99999999995118,2100.0000000000623,15.000000000000615,31.16683442899668,94.1571998600734,5.9472427935952545,59.512498872981205
0.575,0.42500000000000004,0.0,2.98206968498218e-9,30.99999999995203,2100.0000000000637,15.000000000000615,31.16683442899667,94.15719986007348,5.947242793595251,57.93773973720431
0.6,0.4,0.0,3.031999411043638e-9,30.999999999952855,2100.0000000000646,15.000000000000613,31.166834428996655,94.15719986007356,5.947242793595258,56.362980601427424
0.625,0.375,0.0,3.0748242285147608e-9,30.99999999995376,2100.000000000066,15.000000000000613,31.16683442899667,94.15719986007365,5.947242793595258,54.78822146565054
0.65,0.35,0.0,3.124746427646859e-9,30.999999999954593,2100.000000000067,15.000000000000613,31.16683442899666,94.15719986007375,5.947242793595258,53.213462329873636
0.675,0.32499999999999996,0.0,3.1664074893330714e-9,30.99999999995524,2100.000000000068,15.000000000000615,31.166834428996687,94.15719986007392,5.947242793595265,51.63870319409678
0.7,0.30000000000000004,0.0,3.2164932450781204e-9,30.999999999956007,2100.0000000000696,15.000000000000613,31.166834428996697,94.15719986007394,5.947242793595269,50.063944058319876
0.725,0.275,0.0,3.2669347971687133e-9,30.999999999956746,2100.000000000071,15.000000000000613,31.166834428996722,94.15719986007403,5.947242793595276,48.48918492254299
0.75,0.25,0.0,3.3179474418336686e-9,30.999999999957417,2100.0000000000723,15.000000000000613,31.166834428996744,94.1571998600742,5.947242793595276,46.91442578676611
0.775,0.22499999999999998,0.0,3.3706315945687334e-9,30.999999999958092,2100.0000000000737,15.000000000000613,31.166834428996772,94.15719986007423,5.947242793595283,45.3396666509892
0.8,0.19999999999999996,0.0,3.425130863449624e-9,30.999999999958742,2100.0000000000755,15.000000000000613,31.166834428996804,94.15719986007443,5.9472427935952865,43.76490751521233
0.825,0.17500000000000004,0.0,3.4811276565657002e-9,30.99999999995937,2100.000000000077,15.000000000000613,31.166834428996847,94.15719986007456,5.9472427935952865,42.19014837943545
0.85,0.15000000000000002,0.0,3.5391380414048056e-9,30.999999999959996,2100.0000000000787,15.000000000000611,31.166834428996868,94.15719986007468,5.947242793595297,40.61538924365854
0.875,0.125,0.0,3.599895630581249e-9,30.999999999960586,2100.00000000008,15.000000000000611,31.166834428996918,94.15719986007475,5.947242793595301,39.04063010788165
0.9,0.09999999999999998,0.0,3.663869364640318e-9,30.999999999961158,2100.0000000000823,15.000000000000613,31.166834428996985,94.15719986007495,5.947242793595301,37.46587097210478
0.925,0.07499999999999996,0.0,3.726446386561127e-9,30.999999999961716,2100.000000000084,15.000000000000611,31.16683442899702,94.1571998600751,5.947242793595308,35.89111183632787
0.95,0.050000000000000044,0.0,3.79461193649672e-9,30.999999999962256,2100.000000000086,15.000000000000611,31.166834428997074,94.15719986007525,5.947242793595315,34.316352700550986
0.975,0.025000000000000022,0.0,3.864321453812774e-9,30.999999999962792,2100.0000000000878,15.000000000000611,31.166834428997124,94.15719986007538,5.947242793595326,32.741593564774085
1.0,0.0,0.0,3.935666373915569e-9,30.999999999963293,2100.00000000009,15.000000000000611,31.1668344289972,94.15719986007562,5.947242793595333,31.1668344289972
0.0,0.975,0.025,2.310034597826402e-9,30.99999999991611,2100.0000000000464,15.000000000000634,31.166834428998232,94.15719986007298,5.9472427935953505,91.95195093341103
