Pressure Altitude (ft),Temperature (¡C),Propeller Pitch (rpm),Manifold Pressure (inHG),Power (%bHP),Airspeed (KTAS),Fuel Consumption (gal/hr),,,,y2zscore
4000,27,2100,20,-53,-122,9.3,,,,0.788764239
4000,27,2100,19,-50,-117,8.7,,,,1.402998488
4000,27,2100,18,-46,-112,8.1,,,,2.017232736
4000,27,2100,17,-42,-106,7.6,,,,2.754313835
6000,-17,2400,21,-75,-138,12.9,,,,-1.176785357
6000,-17,2400,20,-71,-135,12.1,,,,-0.808244807
6000,-17,2400,19,-66,-131,11.2,,,,-0.316857409
6000,-17,2300,22,-77,-139,13.1,,,,-1.299632206
6000,-17,2300,21,-72,-136,12.3,,,,-0.931091657
6000,-17,2300,20,-67,-132,11.5,,,,-0.439704258
6000,-17,2300,19,-63,-128,10.7,,,,0.051683141
6000,-17,2200,22,-72,-136,12.3,,,,-0.931091657
6000,-17,2200,21,-68,-132,11.6,,,,-0.439704258
6000,-17,2200,20,-63,-129,10.8,,,,-0.071163709
6000,-17,2200,19,-59,-125,10.1,,,,0.42022369
6000,-17,2100,22,-67,-132,11.5,,,,-0.439704258
6000,-17,2100,21,-63,-129,10.8,,,,-0.071163709
6000,-17,2100,19,-55,-121,9.5,,,,0.911611089
6000,-17,2100,18,-51,-116,8.8,,,,1.525845337
6000,-17,2100,17,-47,-111,8.2,,,,2.140079586
6000,3,2400,22,-77,-143,13.3,,,,-1.791019605
6000,3,2400,21,-73,-139,12.4,,,,-1.299632206
6000,3,2400,20,-68,-136,11.6,,,,-0.931091657
6000,3,2400,19,-64,-132,10.8,,,,-0.439704258
6000,3,2300,22,-74,-140,12.6,,,,-1.422479056
6000,3,2300,21,-69,-137,11.8,,,,-1.053938507
6000,3,2300,20,-65,-133,11.1,,,,-0.562551108
6000,3,2300,19,-60,-129,10.3,,,,-0.071163709
6000,3,2200,22,-69,-137,11.9,,,,-1.053938507
6000,3,2200,21,-65,-133,11.1,,,,-0.562551108
6000,3,2200,20,-61,-129,10.4,,,,-0.071163709
6000,3,2200,19,-57,-125,9.7,,,,0.42022369
6000,3,2100,22,-65,-133,11.1,,,,-0.562551108
6000,3,2100,21,-61,-129,10.4,,,,-0.071163709
6000,3,2100,19,-53,-121,9.2,,,,0.911611089
6000,3,2100,18,-49,-116,8.6,,,,1.525845337
6000,3,2100,17,-45,-110,8,,,,2.262926436
6000,23,2400,22,-75,-144,12.8,,,,-1.913866455
6000,23,2400,21,-70,-140,12,,,,-1.422479056
6000,23,2400,20,-66,-136,11.2,,,,-0.931091657
6000,23,2400,19,-61,-132,10.5,,,,-0.439704258
6000,23,2300,22,-71,-141,12.2,,,,-1.545325906
6000,23,2300,21,-67,-137,11.4,,,,-1.053938507
6000,23,2300,20,-63,-133,10.7,,,,-0.562551108
6000,23,2300,19,-58,-129,10,,,,-0.071163709
6000,23,2200,22,-67,-137,11.5,,,,-1.053938507
